year,Precinct,population,Latitude,Longitude,Occcurred Date
1991.0,SOUTHWEST,5025624.0,47.54786,-122.36179,2
1993.0,EAST,5278842.0,47.62015,-122.30478,2
1993.0,NORTH,5278842.0,47.6903,-122.32876,1
1993.0,SOUTH,5278842.0,47.54393,-122.28648,1
1993.0,SOUTHWEST,5278842.0,47.54786,-122.36179,1
1994.0,EAST,5375161.0,47.62015,-122.30478,1
1994.0,SOUTHWEST,5375161.0,47.54786,-122.36179,1
1995.0,EAST,5481027.0,47.62015,-122.30478,1
1995.0,NORTH,5481027.0,47.6903,-122.32876,2
1995.0,SOUTHWEST,5481027.0,47.54786,-122.36179,2
1996.0,SOUTH,5569753.0,47.54393,-122.28648,3
1997.0,NORTH,5674747.0,47.6903,-122.32876,1
1997.0,SOUTH,5674747.0,47.54393,-122.28648,1
1997.0,SOUTHWEST,5674747.0,47.54786,-122.36179,1
1998.0,NORTH,5769562.0,47.6903,-122.32876,5
1998.0,SOUTH,5769562.0,47.54393,-122.28648,5
1998.0,SOUTHWEST,5769562.0,47.54786,-122.36179,6
1998.0,WEST,5769562.0,47.63002,-122.36805,2
1999.0,NORTH,5842564.0,47.6903,-122.32876,2
1999.0,SOUTH,5842564.0,47.54393,-122.28648,2
1999.0,SOUTHWEST,5842564.0,47.54786,-122.36179,1
2000.0,EAST,5910512.0,47.62015,-122.30478,1
2000.0,NORTH,5910512.0,47.6903,-122.32876,10
2000.0,SOUTH,5910512.0,47.54393,-122.28648,8
2000.0,SOUTHWEST,5910512.0,47.54786,-122.36179,5
2000.0,WEST,5910512.0,47.63002,-122.36805,9
2001.0,EAST,5985722.0,47.62015,-122.30478,6
2001.0,NORTH,5985722.0,47.6903,-122.32876,18
2001.0,SOUTH,5985722.0,47.54393,-122.28648,8
2001.0,SOUTHWEST,5985722.0,47.54786,-122.36179,6
2001.0,WEST,5985722.0,47.63002,-122.36805,11
2002.0,EAST,6052349.0,47.62015,-122.30478,3
2002.0,NORTH,6052349.0,47.6903,-122.32876,7
2002.0,SOUTH,6052349.0,47.54393,-122.28648,2
2002.0,SOUTHWEST,6052349.0,47.54786,-122.36179,2
2002.0,WEST,6052349.0,47.63002,-122.36805,1
2003.0,EAST,6104115.0,47.62015,-122.30478,4
2003.0,NORTH,6104115.0,47.6903,-122.32876,7
2003.0,SOUTH,6104115.0,47.54393,-122.28648,5
2003.0,SOUTHWEST,6104115.0,47.54786,-122.36179,4
2003.0,WEST,6104115.0,47.63002,-122.36805,5
2004.0,EAST,6178645.0,47.62015,-122.30478,6
2004.0,NORTH,6178645.0,47.6903,-122.32876,9
2004.0,SOUTH,6178645.0,47.54393,-122.28648,9
2004.0,SOUTHWEST,6178645.0,47.54786,-122.36179,6
2004.0,WEST,6178645.0,47.63002,-122.36805,7
2005.0,EAST,6257305.0,47.62015,-122.30478,5
2005.0,NORTH,6257305.0,47.6903,-122.32876,10
2005.0,SOUTH,6257305.0,47.54393,-122.28648,7
2005.0,SOUTHWEST,6257305.0,47.54786,-122.36179,13
2005.0,WEST,6257305.0,47.63002,-122.36805,5
2006.0,EAST,6370753.0,47.62015,-122.30478,17
2006.0,NORTH,6370753.0,47.6903,-122.32876,22
2006.0,SOUTH,6370753.0,47.54393,-122.28648,20
2006.0,SOUTHWEST,6370753.0,47.54786,-122.36179,12
2006.0,WEST,6370753.0,47.63002,-122.36805,21
2007.0,EAST,6461587.0,47.62015,-122.30478,103
2007.0,NORTH,6461587.0,47.6903,-122.32876,199
2007.0,SOUTH,6461587.0,47.54393,-122.28648,95
2007.0,SOUTHWEST,6461587.0,47.54786,-122.36179,65
2007.0,WEST,6461587.0,47.63002,-122.36805,139
2008.0,EAST,6562231.0,47.62015,-122.30478,6086
2008.0,NORTH,6562231.0,47.6903,-122.32876,12541
2008.0,SOUTH,6562231.0,47.54393,-122.28648,7057
2008.0,SOUTHWEST,6562231.0,47.54786,-122.36179,3718
2008.0,WEST,6562231.0,47.63002,-122.36805,13050
2009.0,EAST,6667426.0,47.62015,-122.30478,6389
2009.0,NORTH,6667426.0,47.6903,-122.32876,13481
2009.0,SOUTH,6667426.0,47.54393,-122.28648,6762
2009.0,SOUTHWEST,6667426.0,47.54786,-122.36179,4249
2009.0,WEST,6667426.0,47.63002,-122.36805,13891
2010.0,EAST,6742256.0,47.62015,-122.30478,6166
2010.0,NORTH,6742256.0,47.6903,-122.32876,13323
2010.0,SOUTH,6742256.0,47.54393,-122.28648,6905
2010.0,SOUTHWEST,6742256.0,47.54786,-122.36179,4122
2010.0,WEST,6742256.0,47.63002,-122.36805,12544
2011.0,EAST,6821481.0,47.62015,-122.30478,5937
2011.0,NORTH,6821481.0,47.6903,-122.32876,13390
2011.0,SOUTH,6821481.0,47.54393,-122.28648,6454
2011.0,SOUTHWEST,6821481.0,47.54786,-122.36179,4054
2011.0,WEST,6821481.0,47.63002,-122.36805,11185
2012.0,EAST,6895318.0,47.62015,-122.30478,6039
2012.0,NORTH,6895318.0,47.6903,-122.32876,12777
2012.0,SOUTH,6895318.0,47.54393,-122.28648,6227
2012.0,SOUTHWEST,6895318.0,47.54786,-122.36179,4096
2012.0,WEST,6895318.0,47.63002,-122.36805,11627
2013.0,EAST,6971406.0,47.62015,-122.30478,6813
2013.0,NORTH,6971406.0,47.6903,-122.32876,14602
2013.0,SOUTH,6971406.0,47.54393,-122.28648,6581
2013.0,SOUTHWEST,6971406.0,47.54786,-122.36179,4424
2013.0,WEST,6971406.0,47.63002,-122.36805,12840
